Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,
Adel Kolasangiani (Iran),2020-2020,1,1,1,2,2*,-,4,50.00,0,0,0,0,0,
N Advani (GIBR),2019-2019,1,1,0,2,2,2.00,4,50.00,0,0,0,0,0,
Aftab Alam (AFG),2012-2018,12,5,3,2,1*,1.00,9,22.22,0,0,1,0,0,
Areeb Quadir (Fin),2019-2019,2,1,0,2,2,2.00,12,16.66,0,0,0,0,0,
Arshad Hayat (CZK-R),2019-2019,7,2,0,2,2,1.00,7,28.57,0,0,1,0,0,
KMC Bandara (SL),2016-2016,1,1,1,2,2*,-,4,50.00,0,0,0,0,0,
Bashir Shah (DEN),2019-2019,4,2,2,2,1*,-,2,100.00,0,0,0,0,0,
A Bhattarai (NEPAL),2014-2014,1,1,0,2,2,2.00,3,66.66,0,0,0,0,0,
JP Bray (IRE),2009-2009,2,2,0,2,2,1.00,17,11.76,0,0,1,0,0,
GB Brent (ZIM),2006-2007,3,1,0,2,2,2.00,5,40.00,0,0,0,0,0,
P Buccimazza (PORT),2019-2019,4,2,0,2,1,1.00,13,15.38,0,0,0,0,0,
A Carthew (Chile),2019-2019,4,1,1,2,2*,-,2,100.00,0,0,0,0,0,
S Chophel (BHU),2019-2019,1,1,1,2,2*,-,5,40.00,0,0,0,0,0,
H Dajc (SRB),2019-2019,2,2,1,2,2*,2.00,3,66.66,0,0,1,0,0,
Dawlat Ahmadzai (AFG),2010-2010,2,1,1,2,2*,-,3,66.66,0,0,0,0,0,
Emran Shahbakhsh (Iran),2020-2020,3,3,1,2,2*,1.00,8,25.00,0,0,2,0,0,
M Faraz Akram (ZIM),2020-2021,2,1,1,2,2*,-,4,50.00,0,0,0,0,0,
MVT Fernando (SL),2017-2017,1,1,0,2,2,2.00,2,100.00,0,0,0,0,0,
C Fry (LUX),2019-2019,3,1,0,2,2,2.00,6,33.33,0,0,0,0,0,
BD Glover (NL),2019-2019,19,4,3,2,1*,2.00,8,25.00,0,0,1,0,0,
Jandu Hamoud (KUW),2019-2019,6,1,0,2,2,2.00,4,50.00,0,0,0,0,0,
RJ Harris (AUS),2010-2010,3,1,1,2,2*,-,1,200.00,0,0,0,0,0,
BW Hilfenhaus (AUS),2007-2012,7,3,1,2,2,1.00,10,20.00,0,0,1,0,0,
AJ Hosein (WI),2021-2021,4,1,1,2,2*,-,3,66.66,0,0,0,0,0,
A Husain (Arg),2019-2019,5,1,1,2,2*,-,1,200.00,0,0,0,0,0,
Ilyas Ahmed (KUW),2019-2020,7,3,2,2,1*,2.00,3,66.66,0,0,0,0,0,
AJ Ireland (ZIM),2006-2006,1,1,1,2,2*,-,3,66.66,0,0,0,0,0,
Jaweed Sadran (Aut),2021-2021,3,2,1,2,1*,2.00,4,50.00,0,0,0,0,0,
S Kansoy (TKY),2019-2019,4,4,0,2,2,0.50,7,28.57,0,0,3,0,0,
A Khan (ENG),2009-2009,1,1,0,2,2,2.00,4,50.00,0,0,0,0,0,
RJ Kirtley (ENG),2007-2007,1,1,1,2,2*,-,4,50.00,0,0,0,0,0,
I Lisboa (Chile),2019-2019,1,1,0,2,2,2.00,3,66.66,0,0,0,0,0,
J Long (PHI),2019-2019,2,1,1,2,2*,-,6,33.33,0,0,0,0,0,
T Lungameni (NAM),2019-2021,9,1,1,2,2*,-,2,100.00,0,0,0,0,0,
MJ Mason (NZ),2006-2008,3,1,0,2,2,2.00,2,100.00,0,0,0,0,0,
Masood Jayezeh (Iran),2020-2020,3,3,0,2,1,0.66,13,15.38,0,0,1,0,0,
RTM Mendis (SL),2021-2021,2,1,0,2,2,2.00,5,40.00,0,0,0,0,0,
D Mogan (MAL),2020-2021,3,1,0,2,2,2.00,8,25.00,0,0,0,0,0,
Muslim Yar (GER),2019-2020,8,1,0,2,2,2.00,6,33.33,0,0,0,0,0,
Najeeb Amar (HKG),2014-2014,1,1,0,2,2,2.00,9,22.22,0,0,0,0,0,
W Nalisa (VAN),2019-2019,9,3,2,2,1*,2.00,4,50.00,0,0,1,0,0,
A Ndlovu (ZIM),2019-2019,3,1,0,2,2,2.00,4,50.00,0,0,0,0,0,
K Nima (BHU),2019-2019,1,1,1,2,2*,-,3,66.66,0,0,0,0,0,
Noman Kamawi (Belg),2019-2019,1,1,0,2,2,2.00,7,28.57,0,0,0,0,0,
L Nou (PNG),2015-2015,3,1,1,2,2*,-,3,66.66,0,0,0,0,0,
S Saeed (Mald),2019-2019,5,1,0,2,2,2.00,4,50.00,0,0,0,0,0,
J Sebanja (UGA),2021-2021,2,1,0,2,2,2.00,3,66.66,0,0,0,0,0,
