,batsman,innings,runs,balls,dismissals,dots,ones,twos,threes,fours,sixes,SR,RPI,BPD,BPB,AVG,SRPER,DOTPER,calc_SR,calc_RPI,calc_BPD,calc_dot_percentage,dev_best_SR,dev_best_RPI,dev_best_BPD,dev_best_dot_percentage,dev_best_sqrt,dev_worst_SR,dev_worst_RPI,dev_worst_BPD,dev_worst_dot_percentage,dev_worst_sqrt,score
62,KD Karthik,4,47,45,3,18,19,2,0,6,0,104.44444444444446,11.75,15.0,7.5,15.666666666666666,46.666666666666664,40.0,1.8046049280698957,0.3137797388329427,0.1619805837412163,2.3037337244812366,15.355223777309318,3.498098496216537,12.745271751497578,4.1933345764442,35.79192860146763,3.2565989464141536,0.09845772450206972,0.025715579089913194,146.2793988331672,149.66017108317334,0.8070017613047715
63,KH Pandya,2,1,4,2,3,1,0,0,0,0,25.0,0.5,2.0,4.0,0.5,25.0,75.0,0.1033930788632169,0.0005681842260442601,0.0028796548220660673,8.099063875129346,31.58199526238319,4.767811910687662,13.906582056951848,61.51411504265697,111.77050427267967,0.01069012875681539,3.228333147255149e-07,1.5872194641334745e-06,39.68082650639302,39.69151854520261,0.2620559121472162
66,KM Jadhav,2,22,20,2,5,12,1,0,2,0,110.00000000000001,11.0,10.0,10.0,11.0,65.0,25.0,2.0016900067918795,0.2750011654054219,0.07199137055165168,0.8998959861254829,13.849481295369277,3.6446589899251736,13.395902162856457,0.4146401426544573,31.304682590805363,4.006762883290475,0.07562564097434021,0.0049521571203304,182.20787681506997,186.2952174964551,0.85613650292003
73,LR Shukla,3,21,25,0,10,11,3,0,1,0,84.0,7.0,25.0,25.0,21.0,56.0,40.0,1.1672665031341736,0.11136410830467498,0.449946065947823,2.3037337244812366,20.756339865120363,4.296234760368939,10.772092341261185,4.1933345764442,40.018001543194686,1.3625110893390817,0.01240196461849538,0.20099643550458773,146.2793988331672,147.85530832262936,0.78699474889874
74,LRPL Taylor,3,13,20,1,10,7,3,0,0,0,65.0,4.333333333333333,20.0,20.0,13.0,50.0,50.0,0.6989372131153463,0.04267694853399109,0.2879654822066067,3.5995839445019318,25.243006841018307,4.585693391651885,11.861598652123154,11.179751442484072,52.870050327277426,0.488513227877447,0.001821321936172924,0.08199384637533151,116.61304116164477,117.18536955783372,0.6891010568025633
76,M Manhas,2,42,47,1,18,24,2,0,2,1,89.36170212765957,21.0,47.0,15.666666666666666,42.0,55.319148936170215,38.297872340425535,1.321034974121971,1.0022769747420748,1.5902893754859855,2.111842821219785,19.37887317056586,1.396706052828468,4.587064251345742,3.4442623925061215,28.80690586724619,1.7451334028534364,1.0045591340981257,2.5238710015273833,150.95790917719972,156.23147271567868,0.8443192915553116
82,MK Pandey,2,37,27,1,6,15,2,0,3,1,137.03703703703704,18.5,27.0,6.75,37.0,62.96296296296296,22.22222222222222,3.106614539670648,0.7778442054545921,0.5248170913215408,0.7110289273090235,6.846410256218216,1.9775558235154829,10.28623163596528,0.20707825068860228,19.317275966387584,9.651053898093073,0.6050416079592856,0.2737353995379607,187.34236882518368,197.872199730774,0.9110579557118015
83,MK Tiwary,3,49,45,1,12,26,2,1,4,0,108.88888888888889,16.333333333333332,45.0,11.25,49.0,64.44444444444444,26.666666666666668,1.9614560580786862,0.606315700769897,1.4578252536709466,1.023881655324994,14.150560471051172,2.489403815294923,5.172019278777913,0.5896876748124656,22.401671239936476,3.8473098677735784,0.36761872900009135,2.1205343063000646,178.87602307974515,185.21148598281889,0.8920989809142926
85,MS Bisla,3,82,57,2,16,26,5,0,7,3,143.859649122807,27.333333333333332,28.5,5.7,41.0,54.3859649122807,28.07017543859649,3.423650660640297,1.6979869937429357,0.5847499073057908,1.1344949089473615,5.287831182145255,0.2363060151861207,9.905388658669084,0.7718052885190212,16.201331144519482,11.721383846102743,2.8831598309201723,0.34004071523852153,175.92947459975602,190.87405899201747,0.9217611946362289
94,NV Ojha,3,67,41,2,12,19,2,0,2,6,163.41463414634146,22.333333333333332,20.5,5.125,33.5,51.21951219512195,29.26829268292683,4.417670729489404,1.1335906625389705,0.3025437347433162,1.2334088947252306,1.7043521842292335,1.103570214580518,11.761394215736777,0.9553859839323354,15.524702598478864,19.515814674187446,1.285027790195542,0.09055521098816557,173.3152998421742,194.20669751754536,0.9259781673612509
97,PA Patel,2,31,32,1,12,13,5,0,2,0,96.875,15.5,32.0,16.0,31.0,56.25,37.5,1.552511699805491,0.546025041228534,0.7371916344489132,2.0247659687823365,17.394466814644602,2.6832901108376,8.969072704819022,3.1286377152147278,32.175467345515955,2.4102925780329354,0.29814334564862227,0.5410659150468675,153.10522982377407,156.3547316625025,0.8293352072250904
98,PP Chawla,2,11,19,1,14,3,1,0,0,1,57.89473684210527,5.5,19.0,19.0,11.0,21.05263157894737,73.6842105263158,0.5544847664243433,0.06875029135135548,0.2598888476914626,7.817378981965415,26.715401425743377,4.4747050875820715,12.055782579726513,57.17489953425279,100.42078862730474,0.30745335619665853,0.004726602560896263,0.06670289798020924,43.30899235137549,43.68787520811325,0.3031592552825818
99,R Dravid,4,84,70,3,23,32,4,0,11,0,120.0,21.0,23.333333333333332,6.363636363636363,28.0,51.42857142857143,32.857142857142854,2.382176537008517,1.0022769747420748,0.39195301744788136,1.5544325768502218,11.162298327464732,1.396706052828468,11.156131947765525,1.6860039887919105,25.401140316850636,5.674765053473891,1.0045591340981257,0.15236001608614333,164.96584944070403,171.7975336443622,0.8711901058632534
106,RG Sharma,4,86,68,2,25,29,3,1,6,4,126.47058823529412,21.5,34.0,6.8,43.0,48.529411764705884,36.76470588235294,2.6460041912538137,1.050572633955837,0.8322202435770935,1.946141838506667,9.469005604650528,1.2848846634404176,8.40891198895065,2.8566794447893344,22.01948170183093,7.001338180132748,1.1037028592169051,0.6898970871733502,155.05713390694692,163.8520720334699,0.8815338804710869
